Venue,Date,Description,Location,
LJT Fesitval,5/15/02,,"Stephenville, TX",
McGonigel's Mucky Duck,5/17/02,,"Houston, TX",
Self Private Party,5/20/02,,,
REK Uprising,5/26/02,,"The Woodlands, TX",
The Tap  ,6/11/02,,"College Station, TX",
Gypsy Tea Room,6/17/02,,"Dallas, TX",
Sport Shack,6/21/02,,,
Rockin Rodeo,6/25/02,,"Denton, TX",
George's Majestic,7/9/02,,"Fayetteville, AR",
The Tap  ,7/18/02,,"College Station, TX",
Firehouse Saloon,7/22/02,,"Houston, TX",
City Limits,7/22/02,,"Stephenville, TX",
Threadgill's,7/25/02,,"Austin, TX",
Texas Music Revolution,8/5/02,,"Plano, TX",
Executive Surf Club,8/15/02,,"Corpus Christi, TX",
Sam Houston Race Park,8/16/02,,"Houston, TX",
House Pasture Cattle Company,8/17/02,,"Concan, TX",
County Line Barbecue,8/21/02,,"San Antonio, TX",
Sons of Hermann Hall,8/22/02,,"Dallas, TX",
Firehouse Saloon,8/24/02,,"Houston, TX",
Puffabelly's,8/25/02,,"Spring, TX",
River Road Ice House,8/30/02,,"New Braunfels, TX",
Eagles Hall,8/31/02,,"Bay City, TX",
City Limits,9/1/02,with Pat Green and Cory Morrow,"Stephenville, TX",
Stubb's Barbecue,9/4/02,with Jack Ingram,"Austin, TX",
Cheatham Street Warehouse,9/5/02,,"San Marcos, TX",
Club Westerner,9/6/02,,"Victoria, TX",
Woody's Tavern,9/14/02,,"Fort Worth, TX",
Guadalupe River Club,9/19/02,,"Kerrville, TX",
City Limits,9/20/02,,"Stephenville, TX",
Private   ,9/21/02,,"Laredo, TX",
Private   ,9/21/02,,"College Station, TX",
Thirsty Armadillo,9/22/02,,"Fort Worth, TX",
Blanco's,9/26/02,,"Houston, TX",
Outlaws,9/27/02,,"Liberty Hill, TX",
Tut's Bar & Grill,9/28/02,,"Conroe, TX",
Hanover's,10/3/02,,"Pflugerville, TX",
Lone Star Park,10/4/02,,"Grapevine, TX",
Saxon Pub,10/5/02,,"Austin, TX",
The Pier,10/11/02,,"Austin, TX",
Poor David's Pub,10/12/02,,"Dallas, TX",
Blue Light Live,10/17/02,,"Lubbock, TX",
Golden Light Cantina,10/18/02,,"Amarillo, TX",
Woody's Tavern,10/19/02,,"Fort Worth, TX",
Cheatham Street Warehouse,10/25/02,,"San Marcos, TX",
Executive Surf Club,10/26/02,,"Corpus Christi, TX",
Carney's Pub,10/29/02,,"College Station, TX",
Texas Thunder Radio,10/30/02,,"Victoria, TX",
The Backyard,10/31/02,,"Austin, TX",
Greek Brothers,11/1/02,,"El Campo, TX",
Too Damn Friendly Bar,11/2/02,,"Johnson City, TX",
Saxon Pub,11/4/02,,"Austin, TX",
Blue Light Live,11/8/02,,"Lubbock, TX",
Firehouse Saloon,11/9/02,,"Houston, TX",
Cheatham Street Warehouse,11/15/02,,"San Marcos, TX",
Antone's,11/16/02,,"Austin, TX",
Saxon Pub,11/18/02,,"Austin, TX",
Henry's Hideout,11/21/02,with Hayes Carll,"Fetzer, TX",
Texas Hall of Fame,11/22/02,,"Bryan, TX",
Gypsy Tea Room,11/23/02,,"Dallas, TX",
Texans Game,11/24/02,,"Houston, TX",
Private   ,11/26/02,,"Magnolia, TX",
Blanco's,11/27/02,,"Houston, TX",
Private   ,11/29/02,,"Dallas, TX",
Private   ,11/30/02,,"Stafford, TX",
Puffabelly's,12/4/02,,"Spring, TX",
Poor David's Pub,12/5/02,,"Dallas, TX",
Floore's Country Store,12/7/02,,Helotes TX,
McGonigel's Mucky Duck,12/12/02,,"Houston, TX",
